#####################################################
# This file is used to log scrapes from crawlers.py #
#####################################################

New log created at 02:29:45 on 12/09/2014

Searched http://www.audiokeychain.com for the following:

Lady Gaga, Americano, NULL, 128.00, Null, Null, Null, 8B / C
Beyonc&eacute;, Amor Gitano, NULL, 168.00, Null, Null, Null, 9A / Em
Wanessa, Amor, Amor, NULL, 96.00, Null, Null, Null, 12A / Dbm
Conor Maynard, Animal, NULL, 130.00, Null, Null, Null, 11B / A
Neon Trees, Animal, NULL, 148.00, Null, Null, Null, 7B / F
Shakira, Animal City, NULL, 140.00, Null, Null, Null, 11A / Gbm
Jack's Mannequin, Annie Use Your Telescope, NULL, 108.00, Null, Null, Null, 9B / G
Phil Collins, Another Day In Paradise, NULL, 102.00, Null, Null, Null, 4A / Fm
Britney Spears, Anticipating, NULL, 111.00, Null, Null, Null, 8B / C
Avril Lavigne, Anything But Ordinary, NULL, 123.00, Null, Null, Null, 8B / C
Ellie Goulding, Anything Could Happen, NULL, 103.00, Null, Null, Null, 8B / C
Ellie Goulding, Anything Could Happen (Blood Diamonds Remix), NULL, 104.00, Null, Null, Null, 8B / C
OneRepublic, Apologize, NULL, 118.00, Null, Null, Null, 5B / Eb
Timbaland, Apologize, NULL, 118.00, Null, Null, Null, 4B / Ab
OneRepublic, Apologize (Lil Wayne, Joe &amp; Bun B Remix), NULL, 91.80, Null, Null, Null, 6B / Bb
Lady Gaga, Applause, NULL, 140.00, Null, Null, Null, 6A / Gm
Lady Gaga, Applause (Empire Of The Sun Remix), NULL, 128.00, Null, Null, Null, 6A / Gm
P!nk, Are We All We Are, NULL, 152.26, Null, Null, Null, 12A / Dbm
Christina Perri, Arms, NULL, 145.26, Null, Null, Null, 12B / E
Olly Murs, Army Of Two, NULL, 92.00, Null, Null, Null, 6A / Gm
Lady Gaga, Artpop, NULL, 117.00, Null, Null, Null, 8B / C
Miley Cyrus, As I Am, NULL, 142.00, Null, Null, Null, 5B / Eb
Justin Bieber, As Long As You Love Me, NULL, 139.74, Null, Null, Null, 5A / Cm
Justin Bieber, As Long As You Love Me (Acoustic Version), NULL, 136.00, Null, Null, Null, 10A / Bm
Justin Bieber, As Long As You Love Me (Audien Dubstep Edit), NULL, 140.00, Null, Null, Null, 5A / Cm
Justin Bieber, As Long As You Love Me (Audiobot Edit), NULL, 70.00, Null, Null, Null, 4B / Ab
Justin Bieber, As Long As You Love Me (Ferry Corsten Radio), NULL, 130.00, Null, Null, Null, 4B / Ab
John Mayer, Assassin, NULL, 80.00, Null, Null, Null, 10A / Bm
Wild Orchid, At Night I Pray, NULL, 78.00, Null, Null, Null, 8B / C
Lady Gaga, Aura, NULL, 130.00, Null, Null, Null, 4A / Fm
Beyonc&eacute;, Ave Maria, NULL, 70.00, Null, Null, Null, 8B / C
Justin Bieber, Baby, NULL, 130.00, Null, Null, Null, 4B / Ab
Michael Jackson, Baby Be Mine, NULL, 109.76, Null, Null, Null, 11A / Gbm
Beyonc&eacute;, Baby Boy, NULL, 121.50, Null, Null, Null, 3B / Db
Girlicious, Baby Doll, NULL, 120.00, Null, Null, Null, 6A / Gm
Ariana Grande, Baby I, NULL, 102.00, Null, Null, Null, 1A / Abm
Nicole Scherzinger, Baby Love, NULL, 90.00, Null, Null, Null, 4B / Ab
Beyonc&eacute;, Back To Black, NULL, 140.00, Null, Null, Null, 7A / Dm
Amy Winehouse, Back To Black, NULL, 123.50, Null, Null, Null, 7A / Dm
Britney Spears, Bad Girl, NULL, 94.50, Null, Null, Null, 2A / Ebm
Rihanna, Bad Girl, NULL, 91.00, Null, Null, Null, 6A / Gm
M.I.A., Bad Girls (Switch Remix), NULL, 160.00, Null, Null, Null, 10B / D
Destiny's Child, Bad Habit, NULL, 124.00, Null, Null, Null, 2B / Gb
Lady Gaga, Bad Kids, NULL, 120.00, Null, Null, Null, 11B / A
Avril Lavigne, Bad Reputation, NULL, 103.00, Null, Null, Null, 2B / Gb
Lady Gaga, Bad Romance, NULL, 119.00, Null, Null, Null, 8B / C
Lady Gaga, Bad Romance (Skrillex Remix), NULL, 124.00, Null, Null, Null, 8A / Am
Will.I.Am, Bang Bang, NULL, 125.00, Null, Null, Null, 8A / Am
Nancy Sinatra, Bang Bang (My Baby Shot Me Down), NULL, 75.00, Null, Null, Null, 4A / Fm
The Beach Boys, Barbara Ann, NULL, 78.73, Null, Null, Null, 2B / Gb
Aqua, Barbie Girl, NULL, 130.00, Null, Null, Null, 12A / Dbm
Regina Spektor, Bartender, NULL, 100.25, Null, Null, Null, 6B / Bb
The Cataracs, Bass Down Low, NULL, 113.00, Null, Null, Null, 8B / C
Guy Sebastian, Battle Scars, NULL, 84.00, Null, Null, Null, 4A / Fm
Jordin Sparks, Battlefield, NULL, 72.50, Null, Null, Null, 10A / Bm
Justin Bieber, Be Alright, NULL, 107.00, Null, Null, Null, 4A / Fm
Wild Orchid, Be Mine, NULL, 108.00, Null, Null, Null, 1B / B
Ingrid Michaelson, Be Ok, NULL, 133.00, Null, Null, Null, 12A / Dbm
Michael Jackson, Beat It, NULL, 139.00, Null, Null, Null, 2A / Ebm
Carly Rae Jepsen, Beautiful, NULL, 104.00, Null, Null, Null, 4B / Ab
Christina Aguilera, Beautiful, NULL, 77.37, Null, Null, Null, 4A / Fm
Beyonce, Beautiful Liar Feat. Beyonce, NULL, 92.00, Null, Null, Null, 6A / Gm
Jesse Mccartney, Beautiful Soul, NULL, 90.00, Null, Null, Null, 11B / A
Utada Hikaru, Beautiful World, NULL, 115.00, Null, Null, Null, 7B / F
Lady Gaga, Beautiful, Dirty, Rich, NULL, 120.00, Null, Null, Null, 10B / D
Justin Bieber, Beauty And A Beat, NULL, 128.00, Null, Null, Null, 8A / Am
Justin Bieber, Beauty And A Beat (Wideboys Club Mix), NULL, 128.00, Null, Null, Null, 8B / C
Justin Bieber, Beauty And A Beat (Wideboys Dub), NULL, 128.00, Null, Null, Null, 8A / Am
Kelly Clarkson, Because Of You, NULL, 140.00, Null, Null, Null, 4B / Ab
Jesse Mccartney, Because You Live, NULL, 99.50, Null, Null, Null, 8B / C
The Script, Before The Worst, NULL, 115.00, Null, Null, Null, 1A / Abm
Cher, Believe, NULL, 133.00, Null, Null, Null, 2B / Gb
Justin Bieber, Believe, NULL, 80.00, Null, Null, Null, 8B / C
Elton John, Bennie And The Jets, NULL, 132.00, Null, Null, Null, 8B / C
Gavin Degraw, Best I Ever Had, NULL, 135.00, Null, Null, Null, 9A / Em
Beyonc&eacute;, Best Thing I Never Had, NULL, 99.00, Null, Null, Null, 3B / Db
Regina Spektor, Better, NULL, 99.25, Null, Null, Null, 7B / F
Crowded House, Better Be Home Soon, NULL, 93.50, Null, Null, Null, 8B / C
Leona Lewis, Better In Time, NULL, 82.00, Null, Null, Null, 1B / B
Sara Bareilles, Between The Lines, NULL, 130.00, Null, Null, Null, 2B / Gb
Jamelia, Beware Of The Dog, NULL, 130.00, Null, Null, Null, 3B / Db
Fergie, Big Girls Don't Cry (Personal), NULL, 113.00, Null, Null, Null, 9B / G
Justin Bieber, Bigger, NULL, 104.00, Null, Null, Null, 5A / Cm
Michael Jackson, Billie Jean, NULL, 117.00, Null, Null, Null, 1B / B
Selena Gomez, Birthday, NULL, 107.00, Null, Null, Null, 12A / Dbm
Rihanna, Birthday Cake, NULL, 80.00, Null, Null, Null, 3B / Db
Lady Gaga, Black Jesus + Amen Fashion, NULL, 120.00, Null, Null, Null, 10A / Bm
Avril Lavigne, Black Star, NULL, 89.68, Null, Null, Null, 8B / C
Katy Perry, Black and Gold, NULL, 138.50, Null, Null, Null, 9A / Em
Ke$ha, Blah Blah Blah, NULL, 120.30, Null, Null, Null, 8A / Am
Leona Lewis, Bleeding Love, NULL, 104.00, Null, Null, Null, 7B / F
Leona Lewis, Bleeding Love (Us Version), NULL, 104.00, Null, Null, Null, 7B / F
Gym Class Heroes, Blinded By The Sun, NULL, 84.50, Null, Null, Null, 10B / D
Digitalism, Blitz, NULL, 128.00, Null, Null, Null, 10B / D
Lady Gaga, Bloody Mary, NULL, 100.00, Null, Null, Null, 8A / Am
Beyonc&eacute;, Blow, NULL, 120.00, Null, Null, Null, 10B / D
Lana Del Rey, Blue Jeans, NULL, 118.00, Null, Null, Null, 5B / Eb
Rooney, Blueside, NULL, 135.50, Null, Null, Null, 1B / B
Cyua, Blumenkranz, NULL, 160.70, Null, Null, Null, 5A / Cm
Britney Spears, Blur, NULL, 138.00, Null, Null, Null, 9A / Em
Ciara, Body Party, NULL, 134.00, Null, Null, Null, 11A / Gbm
Britney Spears, Bombastic Love, NULL, 100.26, Null, Null, Null, 12A / Dbm
Chromeo, Bonafied Lovin, NULL, 125.22, Null, Null, Null, 12A / Dbm
James Blunt, Bonfire Heart, NULL, 118.00, Null, Null, Null, 8B / C
Bette Midler, Boogie Woogie Bugle Boy, NULL, 94.78, Null, Null, Null, 8B / C
The Black Eyed Peas, Boom Boom Pow (Club Version Clean), NULL, 130.00, Null, Null, Null, 11B / A
The Black Eyed Peas, Boom Boom Pow (Radio Edit), NULL, 130.00, Null, Null, Null, 11B / A
Nicole Scherzinger, Boomerang (Cahill Remix Edit), NULL, 128.00, Null, Null, Null, 3B / Db
Lady Gaga, Born This Way, NULL, 124.00, Null, Null, Null, 1B / B
